Partlist

EAGLE Version 7.7.0 Copyright (c) 1988-2016 CadSoft

Assembly variant: 

Part     Value           Package             Library         Position (inch)       Orientation

J1       009155002201006 AVX_009155002201006 009155002201006 (0.924 0.16)          R180
J2       009155003201006 AVX_009155003201006 009155003201006 (0.607 0.16)          R180
J3       009155003201006 AVX_009155003201006 009155003201006 (0.199 0.16)          R180
J4       009155002201006 AVX_009155002201006 009155002201006 (0.08989764 1.22992126) R0
J5       009155003201006 AVX_009155003201006 009155003201006 (0.40643307 1.23031496) R0
J6       009155003201006 AVX_009155003201006 009155003201006 (0.81430709 1.23031496) R0
MC       PPPC091LFBN-RC  PPPC091LFBN-RC      Sullins         (0.497 0.564)         R0
MC1      PPPC091LFBN-RC  PPPC091LFBN-RC      Sullins         (0.495 0.82616535)    R180
